generation	G	population	popgen	indiv	plantheight	biomass	no_of_nodes	no_of_flowers	day_to_flower	seed_cap	seedmass	Latitude
first	1	1	first1	1	197.00	37.90	9.00	245.00	124.00	7.17	9.65	50.01
first	1	1	first1	2	214.00	30.80	9.00	108.00	119.00	2.50	9.14	50.01
first	1	1	first1	3	170.00	27.60	9.00	163.00	128.00	4.40	7.55	50.01
first	1	1	first1	4	168.00	26.20	7.00	176.00	120.00	3.40	4.89	50.01
first	1	1	first1	5	219.00	28.00	9.00	90.00	118.00	3.64	6.56	50.01
first	1	1	first1	6	140.50	21.40	9.00	52.00	117.00	4.73	10.12	50.01
first	1	1	first1	7	199.00	24.30	9.00	65.00	130.00	3.13	7.90	50.01
first	1	1	first1	8	207.00	27.50	10.00	53.00	141.00	3.90	10.37	50.01
first	1	1	first1	9	236.00	35.80	8.00	142.00	109.00	4.20	8.76	50.01
first	1	1	first1	10	230.00	40.70	10.00	257.00	114.00	3.17	8.49	50.01
first	1	1	first1	11	239.00	37.80	10.00	186.00	118.00	6.00	8.63	50.01
first	1	1	first1	12	170.00	39.00	9.00	224.00	121.00	3.20	6.95	50.01
first	1	1	first1	13	166.00	24.50	9.00	113.00	118.00	5.20	10.21	50.01
first	1	1	first1	14	211.50	27.90	10.00	71.00	118.00	3.83	7.81	50.01
first	1	1	first1	15	192.00	26.00	9.00	105.00	114.00	4.08	8.67	50.01
first	1	1	first1	16	209.00	28.80	10.00	138.00	130.00	3.92	8.45	50.01
first	1	1	first1	17	195.00	25.70	9.00	84.00	115.00	3.82	9.42	50.01
first	1	1	first1	18	171.00	33.10	9.00	217.00	109.00	4.82	6.08	50.01
first	1	1	first1	19	192.50	28.20	9.00	103.00	120.00	3.80	7.80	50.01
first	1	1	first1	20	158.00	48.90	8.00	298.00	119.00	6.60	11.16	50.01
first	1	1	first1	21	212.00	45.00	10.00	124.00	130.00	3.25	7.77	50.01
first	1	1	first1	22	194.00	38.90	10.00	262.00	118.00	5.27	9.93	50.01
first	1	1	first1	23	181.00	21.10	9.00	132.00	117.00	5.18	6.25	50.01
first	1	1	first1	24	193.00	23.30	9.00	56.00	113.00	5.40	12.10	50.01
first	1	1	first1	25	248.00	39.80	10.00	161.00	131.00	4.18	8.24	50.01
first	1	1	first1	26	210.50	28.40	9.00	141.00	119.00	3.20	7.18	50.01
first	1	1	first1	27	175.00	29.70	9.00	137.00	117.00	6.10	10.07	50.01
first	1	1	first1	28	156.00	23.40	9.00	79.00	104.00	4.20	6.45	50.01
first	1	1	first1	29	248.50	30.60	9.00	60.00	121.00	3.11	7.42	50.01
first	1	1	first1	30	192.00	24.10	10.00	72.00	140.00	4.46	10.16	50.01
first	1	2	first2	31	152.00	29.90	9.00	186.00	115.00	4.00	8.79	50.88
first	1	2	first2	32	132.00	36.10	8.00	197.00	108.00	7.30	11.92	50.88
first	1	2	first2	33	231.00	38.90	10.00	152.00	92.00	5.64	7.33	50.88
first	1	2	first2	34	132.00	25.30	8.00	72.00	114.00	6.20	8.85	50.88
first	1	2	first2	35	195.00	38.70	10.00	176.00	120.00	3.80	5.84	50.88
first	1	2	first2	36	157.00	46.40	9.00	253.00	109.00	4.90	9.04	50.88
first	1	2	first2	37	191.00	49.70	9.00	169.00	107.00	2.80	14.92	50.88
first	1	2	first2	38	150.50	41.20	9.00	92.00	127.00	4.70	11.93	50.88
first	1	2	first2	39	170.00	39.50	9.00	279.00	98.00	6.30	13.56	50.88
first	1	2	first2	40	178.50	47.80	10.00	263.00	92.00	4.27	8.76	50.88
first	1	2	first2	41	79.00	21.10	8.00	92.00	112.00	3.80	8.61	50.88
first	1	2	first2	42	167.00	28.90	9.00	84.00	83.00	3.00	10.67	50.88
first	1	2	first2	43	123.50	25.10	8.00	87.00	109.00	4.00	8.40	50.88
first	1	2	first2	44	149.00	24.10	9.00	69.00	96.00	3.46	7.37	50.88
first	1	2	first2	45	152.00	29.50	9.00	131.00	119.00	4.75	8.68	50.88
first	1	2	first2	46	145.00	29.20	10.00	164.00	128.00	3.60	7.79	50.88
